17-19,1-7,Other-service
17-19,1-7,Handlers-cleaners
17-19,1-7,Sales
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Handlers-cleaners
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Farming-fishing
17-19,1-7,Adm-clerical
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Farming-fishing
17-19,1-7,Sales
17-19,1-7,Adm-clerical
17-19,1-7,Sales
17-19,1-7,Adm-clerical
17-19,1-7,Other-service
17-19,1-7,Adm-clerical
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Handlers-cleaners
17-19,1-7,Machine-op-inspct
17-19,1-7,Adm-clerical
17-19,1-7,Adm-clerical
17-19,1-7,Adm-clerical
17-19,1-7,Other-service
17-19,1-7,Prof-specialty
17-19,1-7,Craft-repair
17-19,1-7,Sales
17-19,1-7,Handlers-cleaners
17-19,1-7,Craft-repair
17-19,1-7,Adm-clerical
17-19,1-7,Craft-repair
17-19,1-7,Sales
17-19,1-7,Handlers-cleaners
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Handlers-cleaners
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Farming-fishing
17-19,1-7,Sales
17-19,1-7,Prof-specialty
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Handlers-cleaners
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Machine-op-inspct
17-19,1-7,Handlers-cleaners
17-19,1-7,Other-service
17-19,1-7,Farming-fishing
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Exec-managerial
17-19,1-7,Prof-specialty
17-19,1-7,Other-service
17-19,1-7,Handlers-cleaners
17-19,1-7,Craft-repair
17-19,1-7,Prof-specialty
17-19,1-7,Handlers-cleaners
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Adm-clerical
17-19,1-7,Sales
17-19,1-7,Sales
17-19,1-7,Craft-repair
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Farming-fishing
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Handlers-cleaners
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Farming-fishing
17-19,1-7,Adm-clerical
17-19,1-7,Handlers-cleaners
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Machine-op-inspct
17-19,1-7,Handlers-cleaners
17-19,1-7,Handlers-cleaners
17-19,1-7,Transport-moving
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Adm-clerical
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Tech-support
17-19,1-7,Handlers-cleaners
17-19,1-7,Farming-fishing
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Handlers-cleaners
17-19,1-7,Sales
17-19,1-7,Sales
17-19,1-7,Handlers-cleaners
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Transport-moving
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Adm-clerical
17-19,1-7,Craft-repair
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Farming-fishing
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Transport-moving
17-19,1-7,Adm-clerical
17-19,1-7,Craft-repair
17-19,1-7,Sales
17-19,1-7,Handlers-cleaners
17-19,1-7,Machine-op-inspct
17-19,1-7,Priv-house-serv
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Handlers-cleaners
17-19,1-7,Other-service
17-19,1-7,Craft-repair
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Adm-clerical
17-19,1-7,Other-service
17-19,1-7,Priv-house-serv
17-19,1-7,Other-service
17-19,1-7,Craft-repair
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Prof-specialty
17-19,1-7,Sales
17-19,1-7,Machine-op-inspct
17-19,1-7,Other-service
17-19,1-7,Other-service
17-19,1-7,Protective-serv
17-19,1-7,Other-service
17-19,1-7,Handlers-cleaners
17-19,1-7,Sales
17-19,1-7,Sales
17-19,1-7,Farming-fishing
17-19,1-7,Sales
17-19,1-7,Sales
17-19,1-7,Adm-clerical
17-19,1-7,Priv-house-serv
17-19,1-7,Adm-clerical
17-19,1-7,Sales
17-19,1-7,Other-service
17-19,1-7,Machine-op-inspct
17-19,1-7,Other-service
17-19,1-7,Sales
17-19,1-7,Sales
